NUMERO DE MUESTRAS EN EL ARGUMENTO 3 ............. :   37
NUMERO DE MUESTRAS EN EL ARGUMENTO 4 ............. :   72
NUMERO DE FRECUENCIAS MEDIDAS .................... :    1
EL FICHERO SE ESTRUCTURA EN CORTES DEL ARGUMENTO . : 3 == THETA          
CADA CORTE SE BARRE EN EL ARGUMENTO .............. : 4 == PHI            


===========================================================================
=========== BLOQUE CORRESPONDIENTE A LA FRECUENCIA  32.245     ============
===========================================================================

                                         E_PH                            E_PH                   
                                 ------------------------------- -------------------------------
 THETA           PHI                P. REAL       P. IMAGINARIA     P. REAL       P. IMAGINARIA 
 --------------- --------------- --------------- --------------- --------------- ---------------
  10.0000000      170.000000     -2.65661907     -3.00901437    -0.546449184    -0.404900908    
  10.0000000      175.000000     -2.66859412     -3.05703783    -0.256661355    -0.198314667    
  10.0000000      180.000000     -2.65987492     -3.08143139     0.325892977E-01 0.125278058E-01
  10.0000000      185.000000     -2.63101220     -3.08170033     0.319225132     0.225867033    
  10.0000000      190.000000     -2.58259511     -3.05760503     0.601333678     0.439996034    
  10.0000000      195.000000     -2.51521087     -3.00912929     0.877077579     0.653314412    
  10.0000000      200.000000     -2.42946792     -2.93643117      1.14460266     0.864321828    
  10.0000000      205.000000     -2.32607436     -2.83979869      1.40197062      1.07155538    
  10.0000000      210.000000     -2.20593047     -2.71964908      1.64717472      1.27350748    
  10.0000000      215.000000     -2.07021141     -2.57654381      1.87821138      1.46853745    
  10.0000000      220.000000     -1.92038381     -2.41123915      2.09322214      1.65482402    
  10.0000000      225.000000     -1.75814986     -2.22473907      2.29063416      1.83037293    
  10.0000000      230.000000     -1.58530867     -2.01834536      2.46927333      1.99307966    
  10.0000000      235.000000     -1.40358746     -1.79367673      2.62838387      2.14084554    
  10.0000000      240.000000     -1.21448624     -1.55266607      2.76755571      2.27171731    
  10.0000000      245.000000     -1.01919842     -1.29750741      2.88657141      2.38401175    
  10.0000000      250.000000    -0.818621039     -1.03058028      2.98522854      2.47641993    
  10.0000000      255.000000    -0.613471210    -0.754356027      3.06319571      2.54803586    
  10.0000000      260.000000    -0.404446751    -0.471314281      3.11995578      2.59833360    
  10.0000000      265.000000    -0.192385629    -0.183888823      3.15483904      2.62709546    
  10.0000000      270.000000     0.216319561E-01 0.105549715      3.16713953      2.63433337    
  10.0000000      275.000000     0.236258402     0.394676805      3.15625715      2.62021661    
  10.0000000      280.000000     0.449937254     0.681180179      3.12182975      2.58504200    
  10.0000000      285.000000     0.661003709     0.962736249      3.06380796      2.52923441    
  10.0000000      290.000000     0.867804825      1.23700345      2.98248172      2.45337248    
  10.0000000      295.000000      1.06878924      1.50164914      2.87844706      2.35821199    
  10.0000000      300.000000      1.26257348      1.75439215      2.75254726      2.24470186    
  10.0000000      305.000000      1.44795442      1.99305391      2.60580230      2.11397600    
  10.0000000      310.000000      1.62389624      2.21559834      2.43934250      1.96733725    
  10.0000000      315.000000      1.78948224      2.42016101      2.25435543      1.80623341    
  10.0000000      320.000000      1.94386053      2.60507059      2.05205417      1.63223982    
  10.0000000      325.000000      2.08618164      2.76886082      1.83367991      1.44703388    
  10.0000000      330.000000      2.21555877      2.91029406      1.60050976      1.25237072    
  10.0000000      335.000000      2.33104157      3.02836776      1.35389388      1.05004418    
  10.0000000      340.000000      2.43161821      3.12231135      1.09528351     0.841858745    
  10.0000000      345.000000      2.51622820      3.19158125     0.826253414     0.629606545    
  10.0000000      350.000000      2.58378291      3.23584819     0.548511267     0.415076882    
  10.0000000      355.000000      2.63318944      3.25499797     0.263903409     0.200069755    
  15.0000000      0.00000000      2.16244960      3.16341305    -0.240352824E-01-0.990678091E-02
  15.0000000      5.00000000      2.18163013      3.12869096    -0.261187315    -0.226076812    
  15.0000000      10.0000000      2.18269157      3.07103205    -0.500518203    -0.436305225    
  15.0000000      15.0000000      2.16472578      2.99182367    -0.739679635    -0.638363183    
  15.0000000      20.0000000      2.12741399      2.89264941    -0.976275146    -0.830721974    
  15.0000000      25.0000000      2.07094073      2.77494574     -1.20804000     -1.01264656    
  15.0000000      30.0000000      1.99575007      2.63980889     -1.43289459     -1.18386483    
  15.0000000      35.0000000      1.90231586      2.48807788     -1.64884913     -1.34408593    
  15.0000000      40.0000000      1.79110599      2.32061458     -1.85386956     -1.49270499    
  15.0000000      45.0000000      1.66273403      2.13856554     -2.04582572     -1.62885666    
  15.0000000      50.0000000      1.51818132      1.94342351     -2.22260523     -1.75168741    
  15.0000000      55.0000000      1.35888457      1.73687243     -2.38231945     -1.86060655    
  15.0000000      60.0000000      1.18660903      1.52055740     -2.52347016     -1.95531750    
  15.0000000      65.0000000      1.00319612      1.29595017     -2.64493847     -2.03566790    
  15.0000000      70.0000000     0.810355127      1.06438017     -2.74582672     -2.10148311    
  15.0000000      75.0000000     0.609628975     0.827148974     -2.82524896     -2.15254617    
  15.0000000      80.0000000     0.402537048     0.585609078     -2.88222241     -2.18871021    
  15.0000000      85.0000000     0.190798223     0.341142327     -2.91570807     -2.21001792    
  15.0000000      90.0000000    -0.235191304E-01 0.950745344E-01 -2.92478609     -2.21670699    
  15.0000000      95.0000000    -0.237987638    -0.151373282     -2.90888357     -2.20905423    
  15.0000000      100.000000    -0.449973375    -0.397045493     -2.86796808     -2.18718934    
  15.0000000      105.000000    -0.656872869    -0.640742660     -2.80262899     -2.15097713    
  15.0000000      110.000000    -0.856335819    -0.881085336     -2.71403170     -2.10006309    
  15.0000000      115.000000     -1.04638016     -1.11642945     -2.60375500     -2.03404331    
  15.0000000      120.000000     -1.22538900     -1.34486604     -2.47358441     -1.95270586    
  15.0000000      125.000000     -1.39201295     -1.56435001     -2.32531118     -1.85620928    
  15.0000000      130.000000     -1.54506695     -1.77291000     -2.16059327     -1.74512434    
  15.0000000      135.000000     -1.68345642     -1.96887207     -1.98091435     -1.62029898    
  15.0000000      140.000000     -1.80616283     -2.15095687     -1.78764021     -1.48260748    
  15.0000000      145.000000     -1.91225731     -2.31819129     -1.58216918     -1.33271813    
  15.0000000      150.000000     -2.00094128     -2.46967387     -1.36611831     -1.17101860    
  15.0000000      155.000000     -2.07159996     -2.60432410     -1.14145112    -0.997736156    
  15.0000000      160.000000     -2.12388635     -2.72075605    -0.910470247    -0.813210964    
  15.0000000      165.000000     -2.15778184     -2.81733274    -0.675642669    -0.618173897    
  15.0000000      170.000000     -2.17360854     -2.89237261    -0.439341575    -0.413913548    
  15.0000000      175.000000     -2.17194891     -2.94442296    -0.203642741    -0.202247366    
  15.0000000      180.000000     -2.15352345     -2.97247338     0.297207478E-01 0.146822874E-01
  15.0000000      185.000000     -2.11909723     -2.97602344     0.259242624     0.234705999    
  15.0000000      190.000000     -2.06945276     -2.95498371     0.483494610     0.455868930    
  15.0000000      195.000000     -2.00539899     -2.90949082     0.701037049     0.676529825    
  15.0000000      200.000000     -1.92777085     -2.83976531     0.910421729     0.895271599    
  15.0000000      205.000000     -1.83741629     -2.74610567      1.11020207      1.11070716    
  15.0000000      210.000000     -1.73520696     -2.62900400      1.29893279      1.32130373    
  15.0000000      215.000000     -1.62211800     -2.48923540      1.47516537      1.52528179    
  15.0000000      220.000000     -1.49933803     -2.32784581      1.63752997      1.72059631    
  15.0000000      225.000000     -1.36831081     -2.14604616      1.78492188      1.90495169    
  15.0000000      230.000000     -1.23063505     -1.94514704      1.91672087      2.07585263    
  15.0000000      235.000000     -1.08782017     -1.72659612      2.03288221      2.23073745    
  15.0000000      240.000000    -0.941021204     -1.49210000      2.13380361      2.36723065    
  15.0000000      245.000000    -0.790910780     -1.24368489      2.21998191      2.48343420    
  15.0000000      250.000000    -0.637764752    -0.983652294      2.29163313      2.57814527    
  15.0000000      255.000000    -0.481731296    -0.714437127      2.34849548      2.65085816    
  15.0000000      260.000000    -0.323108822    -0.438466400      2.38990378      2.70157266    
  15.0000000      265.000000    -0.162495255    -0.158067510      2.41506505      2.73050666    
  15.0000000      270.000000    -0.752922206E-03 0.124545835      2.42337394      2.73785043    
  15.0000000      275.000000     0.161161169     0.407221973      2.41459775      2.72364807    
  15.0000000      280.000000     0.322389185     0.687764704      2.38887358      2.68784976    
  15.0000000      285.000000     0.482276350     0.963823318      2.34652376      2.63048124    
  15.0000000      290.000000     0.640312731      1.23285830      2.28782034      2.55185008    
  15.0000000      295.000000     0.795945764      1.49224150      2.21285534      2.45267892    
  15.0000000      300.000000     0.948400915      1.73945832      2.12161303      2.33408999    
  15.0000000      305.000000      1.09665251      1.97228777      2.01419568      2.19745898    
  15.0000000      310.000000      1.23957145      2.18884683      1.89102101      2.04424238    
  15.0000000      315.000000      1.37611103      2.38748550      1.75282824      1.87590194    
  15.0000000      320.000000      1.50537407      2.56663251      1.60050261      1.69398332    
  15.0000000      325.000000      1.62650800      2.72472405      1.43488562      1.50027406    
  15.0000000      330.000000      1.73856676      2.86030793      1.25672030      1.29689169    
  15.0000000      335.000000      1.84048498      2.97222233      1.06675804      1.08617055    
  15.0000000      340.000000      1.93119228      3.05974460     0.865884900     0.870371461    
  15.0000000      345.000000      2.00971627      3.12258124     0.655150712     0.651394784    
  15.0000000      350.000000      2.07515049      3.16071582     0.435718387     0.430733293    
  15.0000000      355.000000      2.12647939      3.17425299     0.208845630     0.209748894    
  20.0000000      0.00000000      1.48931110      3.02586722    -0.176173858E-01-0.151419332E-01
  20.0000000      5.00000000      1.52215433      2.99354649    -0.197514161    -0.229057208    
  20.0000000      10.0000000      1.54099298      2.93916011    -0.381270587    -0.436606675    
  20.0000000      15.0000000      1.54460239      2.86412883    -0.566409409    -0.634125531    
  20.0000000      20.0000000      1.53278887      2.77002168    -0.750653088    -0.820002317    
  20.0000000      25.0000000      1.50595605      2.65799975    -0.932083607    -0.994636953    
  20.0000000      30.0000000      1.46447587      2.52874017     -1.10908675     -1.15904391    
  20.0000000      35.0000000      1.40822792      2.38282800     -1.28016269     -1.31345105    
  20.0000000      40.0000000      1.33664191      2.22122121     -1.44364142     -1.45688355    
  20.0000000      45.0000000      1.24931097      2.04542184     -1.59753668     -1.58776891    
  20.0000000      50.0000000      1.14670706      1.85731566     -1.73980641     -1.70488489    
  20.0000000      55.0000000      1.03031695      1.65884411     -1.86883283     -1.80789065    
  20.0000000      60.0000000     0.902061582      1.45176232     -1.98357940     -1.89711988    
  20.0000000      65.0000000     0.763609529      1.23760450     -2.08318281     -1.97296500    
  20.0000000      70.0000000     0.616241157      1.01778424     -2.16644454     -2.03544998    
  20.0000000      75.0000000     0.461265594     0.793627501     -2.23180628     -2.08431721    
  20.0000000      80.0000000     0.300447017     0.566273093     -2.27783346     -2.11939216    
  20.0000000      85.0000000     0.136040837     0.336561948     -2.30368519     -2.14078784    
  20.0000000      90.0000000    -0.294877291E-01 0.105129786     -2.30918837     -2.14873004    
  20.0000000      95.0000000    -0.193768322    -0.127232596     -2.29461646     -2.14321756    
  20.0000000      100.000000    -0.354725063    -0.359212637     -2.26046038     -2.12389731    
  20.0000000      105.000000    -0.510653913    -0.588982940     -2.20730591     -2.09028745    
